IP: ::1 | Waktu: 2025-04-15 20:29:52 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:30:10 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:30:35 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:31:12 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:32:29 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:34:24 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:35:02 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:36:32 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 | Perangkat: Laptop/Desktop | Role: Admin
IP: ::1 | Waktu: 2025-04-15 20:38:09 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 | Perangkat: Laptop/Desktop | Role: Guest
IP: ::1 | Waktu: 2025-04-15 20:38:57 | Halaman: lcustom | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0 | Perangkat: Laptop/Desktop | Role: Admin
